id,name,one_line,why_it_works,when_to_use,when_not_to_use,marketplace_surface,product_stage_tags,source_books,primary_source,marketplace_fit_rank,example_buyer_message,recommended_reply,conflict_notes
PRIN-011,Shape the buyer's no-deal option with truthful scarcity,"Make the buyer aware — only when true — that their alternative is worse: last one, real saves/watchers, not restocking, price rising after the sale.","Outcomes improve when the buyer sees their walk-away as bad and getting worse; scarcity raises perceived value and loss aversion pushes the Act-Now button. Merges GTY shape-their-BATNA, Shell improve-leverage, 3-D worsen-no-deal, Cialdini scarcity/loss-framing, Voss loss-aversion anchor.",Hesitating buyer at close when genuine competing interest or a real constraint exists.,"GUARDRAIL: never fabricate other buyers, fake countdowns, or a relist date that isn't real. Mass-available items.","'9 people have this saved'; 'last one in this size, not restocking'; genuine ship cutoff; only on real like-count / single-quantity data.",objection; pricing; reply-gen; safety,NSD; GTY; BFA; 3DN; INF,INF,4,Let me think about it / maybe next payday.,"No pressure at all! Just so you're not disappointed — it's the only one I have and a couple of people have it saved, so I can't promise it'll still be here. Here whenever you're ready.",
PRIN-012,Mirror their last words to make them elaborate,"Repeat the critical last one-to-three words of the buyer's message with an upward inflection, then go silent.","Triggers the bonding instinct, makes the buyer re-word and reveal budget or motive, and buys time without disagreeing.",Vague or probing messages; when you want them to reveal their hand before you commit to a number.,When the buyer has made a clean firm offer you want to accept; overuse in one thread reads robotic.,First reply before any number; reacting to a lowball comment under a listing.,intent-detection; reply-gen; objection,NSD; GPN,NSD,4,Would you take a lot less? It's been listed a while.,A lot less?,
PRIN-013,Label the emotion to defuse it ('It seems like...'),"Name the buyer's likely feeling as a neutral statement (never starting with 'I'), then let it sit.","Labeling a feeling shifts brain activity from the amygdala to rational areas, defusing negatives and reinforcing positives — a shortcut to feeling understood. Merges Voss labeling and DC acknowledge-feelings.","Buyer is hesitant, frustrated, suspicious, or stalling; clearing emotional barriers before talking price.",On calm transactional messages (sounds patronizing); don't manufacture emotion; don't stack a question right after.,Responding to a hesitant 'hmm not sure' DM; defusing annoyance about shipping cost or a slow reply.,objection; reply-gen; trust,NSD; DC; GPN,NSD,4,"Idk, $40 feels like a lot for something secondhand.",It sounds like you want to be sure you're getting real value before you commit — totally fair.,
PRIN-014,Accusation audit — pre-empt the negative before you deliver it,"Name the worst thing the buyer could think about your firm price or flaw disclosure, and say it first to take the sting out.",Denying a negative gives it credence; voicing it first disarms it and often triggers the buyer to insist the opposite is true.,"Delivering a firm price, declining a bundle, or disclosing a small defect before they find it.",When there's no real objection to pre-empt (manufacturing fake negatives reads weird); don't over-apologize into weakness.,"Opening a 'sorry, firm price' message; declining a lowball; flaw disclosure in chat.",objection; pricing; reply-gen,NSD,NSD,4,Can you do $15 instead of $30?,"You're probably going to think I'm being stubborn — I get it. The truth is I've already priced this below similar ones, so I can't go to $15. But I'd love to find a number that works.",
PRIN-015,Use a 'No'-oriented question to re-engage a ghosting buyer,Revive a silent buyer with one short question that invites 'No' and implies you'll move on ('Have you given up on this one?').,'No' reaffirms autonomy and lowers guard; loss aversion makes the buyer reply to correct you and reclaim control rather than be abandoned. Merges Voss 'No'-oriented re-engagement and Ury keep-the-offer-on-the-table.,Buyer who made an offer or asked about availability then went silent 24h+.,More than once per buyer (becomes nagging); on a buyer who already clearly declined.,The anti-ghosting nudge; a buyer sitting on a sent counteroffer about to expire.,intent-detection; reply-gen; objection,NSD; GPN; DC,NSD,4,(silence after 'is this still available?'),Have you given up on this jacket? Totally fine if it's no longer right — just want to know whether to keep holding it for you.,
PRIN-016,Drive to 'That's right' with a summary,Paraphrase the buyer's situation plus their underlying feeling so the only response is 'That's right' (not the dismissive 'you're right').,'That's right' is genuine buy-in; 'you're right' means they want you to stop talking and nothing will change. Confirms true alignment before the close.,"Stuck negotiations, repeat hagglers, or before a final counter; converting a chatty browser.",As a manipulation to fake agreement you haven't actually understood.,Before sending a final counter; converting a buyer who keeps asking but not buying.,objection; trust; reply-gen,NSD; GPN; DC,NSD,3,I love it but I'm trying not to overspend and I've been burned by sizing online before.,"So it sounds like you really want the piece, you just need to feel confident the fit is right and that you're not blowing your budget on a guess.",
PRIN-017,"Use odd, precise numbers for a final/firm price","Make your final counter end in a non-round number; round numbers read as placeholders, odd ones as a calculated real limit.",A precise figure signals you've reached your actual limit and is psychologically harder to negotiate off of.,Final counteroffer; the 'firm' price you won't move from.,Tiny-dollar items where precision looks silly.,Counter at $43 not $45; 'best I can do is $42.50 shipped'.,pricing; reply-gen,NSD,NSD,3,Meet me at $40?,I can come down to $43 — that's genuinely the lowest the numbers work for me.,
PRIN-018,Reasoning before the number; make the close one easy 'yes',"Lead with the standard/reason, then the figure as 'one fair option', shaped as a single yes/no the buyer can accept in one word.",Lead with a number and the buyer stops listening and starts countering; lead with reasoning and they follow you to the conclusion. A 'yesable proposition' clinches deals.,Sending a counter or final price; closing a long haggle.,Over-explaining a trivial price (reads defensive); burying a simple accept under a paragraph.,Counter messages on any platform; final price line.,pricing; reply-gen; objection,GTY; BFA; 3DN,GTY,4,So what's your actual best?,"Given the condition and that comparable ones sell for $48-55, here's a fair one: $44 shipped, and I'll toss in the dust bag. That work?",
PRIN-019,Go to the balcony — pause before replying to a triggering message,"When a message provokes you, suspend the instinct to strike back/cave/break off; draft, re-read calm, then send.","The first casualty of an attack is your objectivity; reacting hooks you into the buyer's game. Text strips tone, so your worst-case reading is as likely wrong as right. Merges Ury balcony and DC hit-pause/question-attributions.","The instant an insult, derisive lowball, or ambiguous terse message lands and you want to fire back.",Genuinely time-sensitive logistics; don't let the pause become indefinite silence that reads as ghosting.,"Copilot cool-down: on an angry seller draft or hostile inbound, suggest waiting and offer a calmer draft.",safety; coaching; reply-gen; intent-detection,GPN; DC; INF; NSD,GPN,4,"$10 take it or leave it, this isn't worth what you're asking lol",Thanks for the offer! Let me take a look at where I can land on price and get back to you in a sec.,
PRIN-020,Step to their side — acknowledge before you counter,"Let the buyer feel heard first (paraphrase the concern, validate it as reasonable) before defending price or saying no.","Listening may be the cheapest concession you can make; a buyer who feels heard becomes less reactive and far more willing to hear your terms. Merges Ury step-to-their-side, DC acknowledge-feelings, Voss tactical empathy.","Buyer is venting, frustrated, or has piled several complaints into one message.",On a clean offer you'll accept (just close); don't manufacture a 'tell me more' detour.,Opening line of any complaint/objection reply across platforms.,objection; reply-gen; trust,GPN; DC; NSD; GTY,GPN,4,This is overpriced. Secondhand stuff shouldn't cost this much and the photos are dark.,I hear you — you want to be sure it's worth it and that you can actually see what you're getting. Totally reasonable. Let me add brighter photos and walk you through the price.,
PRIN-021,"Say 'Yes... and', never 'but'; speak in 'I' not 'you'","Express disagreement as an addition ('yes, and...') rather than a contradiction, and state your view as your perception ('the way I see it') not a verdict on the buyer.",'But' signals 'you're wrong' and makes the buyer stop listening; 'and' lets your position coexist with theirs. 'You are X' provokes 'says who?'; 'I see/feel' can't be argued with. Merges Ury yes-and/I-statements and DC speak-for-yourself + And-Stance.,Whenever you must disagree on price/condition/terms while keeping the buyer engaged.,Don't disguise an accusation as an I-statement; don't water a verifiable fact down into a 'feeling'.,"Reply-generator formatting rule: strip 'but' -> 'and'; convert 'you're wrong about the price' -> 'the way I see it, the price reflects...'.",objection; reply-gen; pricing; safety,GPN; DC,GPN,4,Your price is too high for the quality.,"Yes, it's at the higher end — and that's because it's barely worn and authenticated. The way I see it, that's where the value is.",
PRIN-022,Build a golden bridge — give a face-saving way to climb down,"Don't push a stuck buyer toward your price; frame their move as a win (bundle deal, 'prices just dropped', new-buyer deal) so retreating from their lowball looks like an advance.","Resistance often comes from fear of losing face after a public/committed stand; pushing widens the gap, a bridge reframes the retreat as a victory. Merges Ury golden-bridge/save-face and Cialdini liking/labeled-concession.",Buyer is close but stuck after holding a hard line (e.g. commented '$25 max') and needs a way up.,"When no real interest of theirs exists to meet and a bridge would just lose you money; GUARDRAIL: the cover must be true, not a fabricated sale.","Posh/Depop bundles, eBay 'send offer to likers', Vinted bundle discount as the cover for a price move.",pricing; objection; reply-gen; trust,GPN; INF; BFA,GPN,4,I told you $25 is my max.,"Tell you what — I'm running a bundle deal this week, so if you add the matching item I can do the pair for $40, which gets this one near your number. Want me to set that up?",
PRIN-023,"Warn with your BATNA, don't threaten; keep the offer on the table","State the consequence of no-deal as a neutral fact ('these tend to sell fast, I'll probably keep it listed') while leaving your best offer visible, never as an angry 'I'll sell to someone else'.",A warning is objective and respectful; a threat triggers ego and fighting back. The contrast between 'no deal' and an attractive standing offer reduces resistance more than punishment. Merges Ury warn-not-threaten + keep-sharpening-the-choice.,Final stage where the buyer is stalling or testing whether you'll cave and your real BATNA is to relist.,As a first move (reads aggressive); when relisting genuinely isn't a good alternative; never bluff a BATNA you don't have.,"eBay relist, 'X people have this liked', Depop/Posh relist-and-share; a low-pressure re-engagement that restates the standing offer.",pricing; objection; reply-gen; safety,GPN; 3DN; BFA,GPN,4,I'm not going a cent over $25. Final.,"All good! I'll keep it at $38 for now — a couple people have it liked so it may sell soon, but if you change your mind it's yours at $38. No worries either way.",
PRIN-024,Be generous at the end — close for mutual satisfaction,"When closing after a haggle, concede a tiny final crumb (free shipping, fast dispatch, a sticker) and let the buyer feel they won the last round.","An imposed/crushed buyer may renege, leave bad feedback, or never return; a satisfied one completes the sale, reviews well, and comes back. Merges Ury aim-for-satisfaction, GTY generous-final-gesture, Cialdini reciprocity.","Closing any deal, especially after a tense haggle.","Don't confuse generosity with being exploited — give the last small crumb, not your whole margin; don't re-drop price after saying 'final'.",Closing-message template; the small add-on rather than another price drop.,reply-gen; trust; pricing; metrics,GPN; GTY; INF,GPN,4,Ok I'll take it at $38. Can you ship today?,"Done — $38 it is, and yes I'll get it out today. I think you got a great deal on this one. I'll send tracking once it's on its way!",
PRIN-025,"Close for commitment, not just agreement (get it in writing, on-platform)","Turn 'I'll take it' into an action that makes backing out costly: confirm the terms in the thread, then send the offer/invoice immediately and keep it on-platform.","A 'yes' isn't a deal until the buyer has something to lose if they renege; written/active commitments bind harder than verbal ones and cut ghosting. Merges Shell commitment-not-agreement, Cialdini get-it-in-writing, Voss Rule-of-Three.",The moment a buyer agrees to a price.,Don't demand heavy commitment devices on a tiny trusted sale (a quick checkout is enough); don't shame a hesitant buyer into it.,Send the eBay Best-Offer/invoice or Depop/Posh payment link right after agreement; restate price + shipping in chat.,reply-gen; trust; safety; metrics,BFA; INF; NSD,BFA,5,Ok yeah let's do $45.,"Perfect — confirming $45 plus $5 shipping, total $50. I've just sent the offer; accept it whenever you're ready and I'll pack and ship today.",
PRIN-026,Detect the buyer's bargaining style and match your move,Read the opener for style (competing / collaborating / compromising / accommodating / avoiding) and pick a matched approach instead of one-size-fits-all.,"The right move against a competitive flipper (firm + leverage) is wrong against an accommodating sentimental buyer (relationship + generosity). Reading style first prevents misfiring. Merges Shell five styles, 3-D claimer-vs-creator, Cialdini buyer personas.",Every thread at first contact — the opener is the richest style signal.,Don't over-classify on one ambiguous line; hold the label loosely and update as cues arrive.,Drives which reply template surfaces on the first DM / Best-Offer.,intent-detection; reply-gen; coaching,BFA; 3DN; INF,BFA,4,Love this! Would you maybe consider a small discount? Totally fine if not :),"Thank you, that's so kind! I can do a little something since you clearly love it — $X works and I'll pack it really carefully for you.",
PRIN-027,Match firmness to relationship vs. stakes (situational matrix),Dial firmness by whether you'll deal with this buyer again and how high the stakes are: one-off stranger -> firm + anchor; repeat/local -> accommodate; both high -> collaborate.,"Different situations reward different styles; most resale is low-stakes coordination where smoothness wins, but a one-off high-value sale rewards leverage and a repeat buyer rewards generosity.",Choosing tone/firmness at the start of a thread; when a repeat or local buyer appears.,Don't over-invest relationship effort in a one-off cheap sale to a stranger.,"Copilot detects repeat buyers/followers/locals vs. one-time strangers, and item value/sentiment, then dials firmness.",intent-detection; coaching; pricing; trust,BFA,BFA,4,"Hey, I bought from you before — any chance of a deal on this one too?","Of course, repeat buyers are my favourite! I'll knock a bit off for you — $X and I'll get it shipped today. Thanks for coming back.",
PRIN-028,Use the norm of reciprocity — take turns,"After you give a little (a small concession or disclosure), pause and let the buyer reciprocate before giving again; a well-placed small give triggers their obligation to move.","People feel obliged to return concessions and disclosures; 'negotiation is a dance and reciprocity is its rhythm'. Resist the trap of small-gives-for-big-asks. Merges Shell reciprocity, Cialdini reciprocation.",Stalled threads; after you've moved and they've gone quiet; to break a disclosure deadlock.,When the buyer is exploiting it (one-sided pattern) — hold; don't name the debt out loud (it works best unspoken).,"'I came down $5, can you come up $5?'; a small first concession to restart a quiet thread.",objection; pricing; reply-gen,BFA; INF,BFA,3,"Hmm, can you do a bit better?",I'll meet you partway — I'll do $46 if you can come up to that. Fair trade?,
PRIN-029,Surface genuine social proof to lower buyer risk,"Cite real demand evidence — likes/saves, sold counts, review count and rating, shop tenure — to answer 'is this any good / are you legit?'.","Under uncertainty buyers judge quality by what others are doing; quantified real demand removes risk without you arguing the item is good, strongest from similar buyers. GUARDRAIL: only ever true numbers.",Listing has real traction; nervous/first-time buyer; 'is this legit?'.,"No real demand yet — never invent counts, saves, or similar-buyer personas.","Depop/Posh likes, 'X saved', 'sold 3 already', star rating + review count, 'from a 200+ sale shop'.",listing; trust; reply-gen; objection,INF; BFA,INF,4,Is this actually any good? bit nervous buying secondhand.,"Totally fair! For what it's worth, 14 people have this saved and I've sold two of the same style this month — both buyers left 5 stars. Happy to send extra photos too.",
PRIN-030,Answer trust/authenticity with genuine proof (authority),"Meet authenticity and condition doubts with real evidence — receipts, serial/date codes, stitching close-ups, demonstrated specifics — not bare reassurance.","Buyers defer to credible authority and proof; for a stranger online, demonstrated knowledge directly answers the trust objection. GUARDRAIL: never claim expertise/authentication you don't have.","Buyer questions authenticity, condition, or your competence and you have the proof.",Claiming credentials you lack; implying authentication you can't back.,"Receipt photo, batch/serial codes, date code, detail close-ups; verified badge only if real.",listing; trust; objection; reply-gen,INF; GTY; 3DN; DC,INF,5,How do I know this bag is real?,"Great question — I've added photos of the date code (inside the side pocket) and the original receipt. The hardware's engraved, not stamped, which is one of the real-vs-fake tells. Happy to photograph any detail you want.",
PRIN-031,"Build liking with genuine rapport, similarity, and sincere compliments","Match the buyer's tone, surface real shared taste, and acknowledge a fair offer or good eye honestly — be a human, not a script.","We comply more with people we like and who are similar to us; cheap to build, powerful in effect, and it smooths haggling. GUARDRAIL: genuine only — fake similarity/empty flattery backfires.",Throughout chat; with enthusiast buyers; when the buyer shows good taste or makes a fair offer.,Manufacturing fake similarity or insincere praise as a lever.,"Match emoji/casual vs precise tone; 'great eye, this is one of my favourites'; 'fair offer, I appreciate that'.",reply-gen; trust; intent-detection,INF; NSD,INF,3,omg I've been hunting for this colourway forever,"Honestly same — this colourway is so hard to find, I almost kept it. You'll love it. Want a couple more pics in daylight?",
PRIN-032,Ladder small yeses toward the purchase (commitment & consistency),"Secure an easy genuine yes (answer a question, confirm a size, 'want me to hold it?') and let purchase be the natural consistent next step.",A small initial commitment shifts self-image and makes a later larger consistent action more likely; the like itself is the first micro-commitment.,Early in a chat to convert an 'is it available?' or a measurement question.,Engineering a trivial commitment purely to trap someone; escalating pressure once they hesitate.,"answer-a-question -> 'want me to reserve it?' -> checkout, in Depop/Vinted DMs.",intent-detection; reply-gen; objection,INF,INF,4,Do you have measurements?,"Yes! Pit-to-pit 52cm, length 70cm — sounds like it'd fit you. Want me to hold it for a bit while you check?",
PRIN-033,Restore the buyer's freedom to defuse reactance,"State true scarcity once, then explicitly hand control back ('no pressure, it's here whenever you're ready'); avoid repeated nudges and countdowns.",When freedom is threatened people want the thing less and may walk; giving them their freedom often closes better than pressure. This is the safety-default tone. Merges Cialdini reactance and DC let-go-of-controlling-their-reaction.,"Hesitant or independent-minded buyer; whenever you're tempted to push hard; 'stop messaging me, I'm thinking'.",Never replace with manufactured can't-come-back pressure.,"Default copilot tone; one factual scarcity note at most, then back off.",safety; objection; reply-gen; coaching,INF; DC,INF,4,"Stop messaging me, I'm still thinking.","Of course — no pressure at all, take your time. It's here whenever you're ready and I'm happy to answer anything.",
PRIN-034,Run a 3-D barriers audit before dropping price,"When a listing stalls, diagnose which dimension is blocking — weak setup (photos/comps/audience), bad deal design (price-only, no bundle/shipping lever), or table tactics — and fix the highest broken one first.",A problem in one dimension usually has its fix in another; slashing price (tactics) when the real barrier is a weak listing (setup) wastes effort and leaves money on the table.,"A listing has stalled, drawn only lowballs, or had repeated no-sales — before any price cut or relist.",First few days of a fresh well-built listing — give setup time to work.,"Copilot 'why isn't this selling?' diagnostic: scores photo count, comp-anchored price, bundle eligibility, reply latency before recommending a cut.",listing; pricing; coaching; metrics,3DN,3DN,4,"(internal: 40 likes, 0 offers in 3 weeks)","Before you drop the price: photos and price look strong, but there's no bundle offer set and shipping is buyer-paid at $8 — two things buyers hesitate on. Want to add a 'bundle 2+ and save' and bake shipping into the price instead of cutting it?",
PRIN-035,Route the listing to the highest-value buyer (parties + framing),"Don't accept current lowballers as fixed; ask who would value this item most and reach them via platform, tags, and framing (styled flat-lay, exact collector model, 'NWT designer').",The single biggest setup lever is negotiating with the party who values the item most — they offer fairly without haggling; the frame sets the price ceiling before any number. Merges 3-D map-the-parties + meta-anchor-the-frame. GUARDRAIL: framing must be honest.,At listing time (platform/tags/title/cover photo) and when current offers are all bargain-hunter lowballs.,Pure commodity with one obvious mass market; never inflate condition or invent provenance.,Cross-listing strategy; Depop styled flat-lays + niche tags; eBay exact-compatibility model; title/cover-photo framing.,listing; pricing; system-design; coaching,3DN,3DN,4,(two lowballs at 40% within an hour of posting),"These lowballs suggest you're reaching bargain-hunters, not the people who'd pay full price. Let's re-tag with the specific line name and post a styled photo — 'Reformation Linen Midi, Worn Once' anchors higher than 'black dress' and reaches buyers who offer fairly.",
PRIN-036,Bridge doubt with contingent terms and risk allocation,"Answer 'is it real / will it fit / what if it breaks?' with terms — returns, platform authentication, tracked+insured shipping, measurements — rather than a price cut.",Contingent terms let optimists and skeptics both say yes by betting on their own forecast and act as a 'truth serum'; buyers pay a premium for certainty a seller can cheaply provide. Merges 3-D contingent-terms + allocate-risk.,"Authenticity doubt, fit doubt, condition skepticism, high-ticket or fragile-item hesitation.",Low-value items where return shipping exceeds item value; platforms where you can't control return terms.,"Lean on eBay Authenticity Guarantee / Posh authenticate-over-$500, offer-returns settings, double-boxed insured shipping, clear measurements.",trust; objection; pricing; system-design,3DN,3DN,4,How do I know it's not a fake for $400?,"Great question — at $400+ it ships through eBay's Authenticity Guarantee, so an expert inspects it before it reaches you and you're fully refunded if it's not genuine. Neither of us is taking a risk.",
PRIN-037,Set the spirit of the deal in the listing (prevent disputes),"State condition honestly (with flaw photos), ship time, and return policy up front so post-sale reality matches buyer expectations.","Deals unravel when parties hold divergent unspoken expectations; embedding them in the listing pre-empts 'item not as described' cases, returns, and bad reviews.","Every listing; especially flawed/used items, slow-shipping situations, made-to-order.",n/a — always worth it; keep it concise so it doesn't read defensive.,"Listing-description generator that proactively states condition, flaws, ship time, and returns.",listing; trust; safety; objection,3DN; DC,3DN,4,(drafting a listing for a worn item),Add to the description: 'Pre-loved — small mark on left cuff shown in photo 4. Ships within 2 business days from a smoke-free home. Bundle to save on shipping.' Setting this up front prevents surprises and bad reviews.,
